canddt_name_2014,caddi_sex_2014,cnddt_age_2014,canddt_category_2014
PRATIBHA SINGH,F,57,GEN
RAM SWAROOP SHARMA,M,55,GEN
LALA RAM,M,38,GEN
JAI CHAND THAKUR,M,62,GEN
DEVENDER DEV,M,55,GEN
PUNI CHAND,M,43,GEN
BHAG CHAND RANA,M,38,GEN
SUBHASH MOHAN SNEHI,M,35,GEN
ANURAG SINGH THAKUR,M,39,GEN
RAKESH CHOUDHARY,M,38,GEN
RAJINDER SINGH RANA,M,48,GEN
URMILA SHARMA,F,58,GEN
KAMAL KANTA BATRA,F,69,GEN
SHIV DUTT VASISHT,M,61,GEN
AMIN CHAND,M,55,SC
ASHISH KUMAR,M,34,GEN
DEV RAJ BHARDWAJ,M,61,GEN
RAJINDER SINGH RANA,M,47,GEN
GURNAM SINGH KOLI,M,38,SC
JAGAT RAM,M,57,SC
MOHAN LAL BRAKTA,M,48,SC
VIRENDER KASHYAP,M,63,SC
SHURVEER SINGH,M,33,SC
SUBHASH CHANDER,M,58,SC
VIRENDER KUMAR KASHYAP,M,28,SC
GHULAM MOHAMMAD MIR,M,63,GEN
SYED MOHD RAFIQ SHAH,M,44,GEN
MOHD SHAFI BHAT,M,52,GEN
MUZAFFAR HUSSAIN BAIG,M,67,GEN
SHARIEF UD-DIN SHARIQ,M,79,GEN
AYAZ AHMAD SOFI,M,30,GEN
BASHIR AHMAD JAGAL,M,45,ST
SALAMUDDIN BAJAD,M,65,GEN
TANVEER HUSSAIN,M,46,GEN
ASHIQ HUSSAIN GANIE,M,31,GEN
ABDUL HUSSAIN,M,45,GEN
AB. HAMID MALIK,M,35,GEN
ER. ABDUL RASHID SHEIKH,M,48,GEN
MOHD ABDULLAH CHATWAL,M,51,GEN
NISAR AHMAD AHANGER,M,34,GEN
TARIQ HAMEED KARRA,M,58,GEN
FAROOQ ABDULLAH,M,77,GEN
FAYAZ AHMAD BHAT,M,42,GEN
MOHAMMAD MAQBOOL MALIK,M,43,GEN
DR RAJA MUZAFFAR BHAT,M,37,GEN
MUSHTAQ SHAMIM,M,45,GEN
AGA SYED MOHSIN,M,54,GEN
BASHIR MOHD RESHI,M,50,GEN
CHETAN SHARMA,M,40,GEN
RABIA ALTAF,F,46,GEN
RIYAZ AHMAD WANI,M,32,GEN
ABDUL RASHID TANTRAY,M,43,GEN
MOHAMMAD SHAFI GUROO,M,51,GEN
MIRZA SAJAD HUSSAIN BEIGH,M,34,GEN
SYED ABID AHMAD SHAH,M,33,GEN
MIRZA MEHBOOB BEG,M,62,GEN
MEHBOOBA MUFTI,F,54,GEN
MOHAMMAD SHARIF,M,69,GEN
MUSHTAQ AHMAD MALIK,M,41,GEN
ASIF JEELANI,M,44,GEN
DR. TANVIR MAQBOOL DAR,M,38,GEN
GH. NABI SHAH,M,62,GEN
MOHAMMAD YAQOOB RATHER,M,49,GEN
MOHD YOUSIF  GANIE,M,47,GEN
TANVEER HUSSAIN KHAN,M,35,GEN
ABDUL AHAD MIR,M,48,GEN
THUPSTAN CHHEWANG,M,67,ST
TSERING SAMPHEL,M,65,ST
SYED MOHD KAZIM,M,50,ST
GHULAM RAZA,M,50,GEN
PROF. BHIM SINGH,M,77,GEN
DR. JITENDRA SINGH,M,57,GEN
DHARAM PAL BALGOTRA,M,66,GEN
GHULAM NABI AZAD,M,65,GEN
MOHD ARSHAD MALIK,M,62,GEN
SMT. AMRIT BARSHA,F,52,SC
JAGDISH KUMAR,M,37,GEN
SHAM LAL,M,40,SC
GIRDHARI LAL,M,61,SC
ANIL KUMAR GUPTA,M,49,GEN
ANIL KHAJURIA,M,32,GEN
BANSI LAL,M,48,GEN
NAZAKAT HUSSAIN,M,64,ST
ASHOK KUMAR,M,39,GEN
JUGAL KISHORE,M,51,GEN
MADAN LAL SHARMA,M,62,GEN
HARI CHAND JALMERIA,M,58,GEN
YASHPAL SHARMA,M,67,GEN
BAHADUR SINGH CHOWDHARY,M,62,GEN
SUBASH CHANDER,M,48,SC
GURSAGAR SINGH,M,34,GEN
MEHAR MANAV BHAGAT,M,26,SC
ASHOK KUMAR SHARMA,M,50,GEN
PERSEEN SINGH,M,33,GEN
RAJ KUMAR,M,40,GEN
SATISH POONCHI,M,65,GEN
ABDUL MAJID CHOUHAN,M,34,ST
LABHA RAM,M,51,GEN
MOHD. IMTIAZ,M,31,GEN
MOHD. ABBAS KHAN,M,53,GEN
NIRMAL SINGH,M,48,GEN
VIJAY KUMAR,M,48,GEN
DR. ANIL MURMU,M,43,ST
ARUN MARANDI,M,28,ST
ARJUN PRASAD SINGH,M,65,ST
JYOTIN SOREN,M,65,ST
VIJAY KUMAR HANSDAK,M,31,ST
HEMLAL MURMU,M,58,ST
KRISHNA SINGH,M,42,ST
BARNARD HEMBROM,M,43,ST
TALA HANSDA,M,41,ST
SUNIRAM HEMBROM,M,45,ST
DR. SURAE SOREN,M,33,ST
CHHAYA KOLE,F,31,ST
BABU LAL MARANDI,M,56,ST
SHIBU SOREN,M,68,ST
SUNIL SOREN,M,35,ST
SOKOL HANSDA,M,31,ST
BABULAL SOREN,M,57,ST
BITIYA MANJHI,F,40,ST
SAHADEO SOREN,M,64,ST
STEPHAN BESRA,M,36,ST
UMANATH KOLE,M,56,ST
JOSHIL MURMU,M,32,ST
PULIS HEMRAM,M,35,ST
BAGHRAI SOREN,M,59,ST
SHRILAL KISKU,M,55,ST
NISHIKANT DUBEY,M,42,GEN
PRADIP YADAV,M,48,GEN
FURKAN ANSARI,M,63,GEN
MANRAJ,M,60,SC
SUBODH PRASAD,M,59,GEN
GITA MANDAL,F,44,GEN
JAI SHANKAR JHA,M,50,GEN
MD. JENUL,M,25,GEN
DAMODAR SINGH,M,46,GEN
MD. NOOR HASSAN,M,41,GEN
MAHENDRA MURMU,M,57,ST
RAJVARDHAN AZAD,M,64,GEN
NAVIN CHANDRA JHA,M,50,GEN
NIRANJAN PRASAD YADAV,M,38,GEN
MANOJ KUMAR RAY,M,34,GEN
SUNIL KUMAR GUPTA,M,46,GEN
HAJI JAINUL ABEDIN,M,40,GEN
DHIRAJ PRASAD SAHU,M,58,GEN
NAGMANI,M,51,GEN
NILAM DEVI,F,37,GEN
BANWARI SAW,M,60,GEN
SUNIL KUMAR SINGH,M,52,GEN
KESHWAR YADAV,M,50,GEN
CHANDRADEO THAKUR,M,63,GEN
NAUSHAD ALAM,M,31,GEN
BALWANT KUMAR,M,36,GEN
MAHESH SINGH YADAV,M,67,GEN
MISTAR ALAM ASRAFEE,M,41,GEN
RAJ KUMAR PAHAN,M,45,GEN
RAMNARESH SINGH,M,49,GEN
SAGAR RAM,M,38,SC
SIMA CHANDRAVANSI,F,25,GEN
ANIL KUMAR ORAON,M,45,ST
ASHISH BHUSHAN PATHAK,M,31,GEN
ROBIN SINGH,M,25,ST
SUDHANSHU SUMAN,M,40,GEN
TILAKDHARI PD SINGH,M,69,GEN
NAJRUL HASSAN HASHMI,M,42,GEN
PRANAV KUMAR VERMA,M,34,GEN
RAVINDRA KR. RAY,M,50,GEN
BISHESHWAR PRASAD,M,45,GEN
KRISHNA SINGH,M,50,ST
JAIDEO CHAUDHARY,M,52,GEN
MD. JALIL ANSARI,M,40,GEN
MANJU KUMARI,F,36,GEN
MAHENDRA RAVIDAS,M,44,GEN
YOGENDRA RAM,M,39,GEN
RAGHUNANDAN PRASAD VISHWAKARMA,M,63,GEN
RAJKUMAR YADAV,M,41,GEN
VIJAY KUMAR CHOURASIYA,M,42,GEN
DR. SURAJ MANDAL,M,65,GEN
KANCHAN KUMARI,F,27,GEN
PHALJIT MAHTO,M,40,GEN
MANOJ KUMAR,M,38,GEN
RAMESHWAR PRASAD YADAV,M,37,GEN
SHIVANATH SAV,M,28,GEN
UMESH CHANDRA MEHTA,M,58,GEN
KARTIK MAHTO,M,57,GEN
JAGARNATH MAHTO,M,47,GEN
RAVINDRA KUMAR PANDEY,M,55,GEN
SABA AHMAD,M,76,GEN
ASHUTOSH VERMA,M,52,GEN
GURJEET SINGH,M,50,GEN
JALESHWAR MAHATO,M,65,GEN
JEETENDRA KUMAR,M,32,GEN
MRINAL KANTI DEV,M,67,GEN
BIDESHI MAHTO,M,58,GEN
SANJEEV KUMAR SINHA,M,35,GEN
SOHRAB SHAH,M,51,GEN
DILIP KR RAJAK,M,35,SC
SHIVA MAHTO,M,80,GEN
SANJEEV KUMAR MAHATO,M,33,GEN
SAJJADUR RAB HASAMI,M,42,GEN
AJAY KUMAR DUBEY,M,53,GEN
PASHUPATI NATH SINGH,M,65,GEN
MADAN MOHAN RAM,M,29,GEN
SAMARESH SINGH,M,73,GEN
HEMLATA S. MOHAN,F,55,GEN
AKLU RAM MAHTO,M,70,GEN
AHMAD HUSSAIN ANSARI,M,68,GEN
ANAND MAHATO,M,72,GEN
KISHOR KUMAR MURMU,M,29,ST
CHANDRA SHEKHAR DUBEY,M,71,GEN
JAYANT PANDEY,M,41,GEN
MD. ZUBAIR,M,53,GEN
MANTOSH KUMAR MANDAL,M,67,GEN
RAMA KANT VERMA,M,63,GEN
HIRALAL SANKHWAR,M,64,GEN
DR. KRISHNA CHANDRA SINGHRAJ,M,61,GEN
GANPAT MAHTO,M,47,GEN
GAUTAM KUMAR MAHATO,M,37,GEN
TARCH MURMU,M,64,ST
PARSHURAM PASWAN,M,39,SC
PAWAN MAHATO,M,38,GEN
PREM PRAKASH PASWAN,M,30,SC
BINOD SINGH,M,25,GEN
MANILAL MAHTO,M,35,GEN
MUNSHI HEMBRAM,M,62,ST
RANBIR SINGH,M,40,GEN
RAMESH KUMAR RAY,M,35,GEN
RAMESH BHARATI,M,42,GEN
RITU RANI SINGH,F,29,GEN
VIJAY KANT MISHRA,M,31,GEN
SUMAN BANERJEE,F,33,GEN
AMITABH CHOUDHARY,M,54,GEN
DURGA MUNDA,M,39,ST
RAJENDRA SINGH MUNDA,M,78,ST
RAM TAHAL CHOUDHARY,M,72,GEN
SUDESH KUMAR MAHTO,M,40,GEN
SUBODH KANT SAHAY,M,60,GEN
AMANULLAH,M,44,GEN
BANDHU TIRKEY,M,53,ST
BAHADUR  URAON,M,70,ST
BISHESHWAR MAHTO,M,49,GEN
MAN SINGH MARDI,M,36,ST
"YUGESHWAR MARAR ""DEEN""",M,67,GEN
RANJIT MAHTO,M,49,GEN
RAM LAL MAHTO,M,63,GEN
LAL JOTINDRA DEV,M,57,GEN
VIKAS CHANDRA SHARMA,M,34,GEN
SURESH TOPPO,M,44,ST
ANJANI PANDEY,M,56,GEN
ABUL HASAN,M,38,GEN
AMIT KUMAR SINGH,M,33,GEN
ARSAD AYUB,M,43,GEN
KAFILUR RAHMAN,M,39,GEN
CHINTAMANI MAHTO,M,43,GEN
THADDEUS LAKRA,M,65,ST
BALRAM KUMAR BEDIA,M,35,ST
BIRENDRA KUMAR JAISWAL,M,48,GEN
RAMPODO MAHTO,M,48,GEN
SAJIYA HAIDAR,F,29,GEN
AJAY KUMAR,M,51,GEN
DAMAN CHANDRA BHAKAT,M,47,GEN
NIROOP MAHANTY,M,64,GEN
BIDYUT BARAN MAHATO,M,51,GEN
ANGAD MAHATO,M,46,GEN
KUMAR CHANDRA MARDI,M,65,ST
JOSAI MARDI,M,36,ST
D.G.RAJA,M,42,GEN
SITA RAM TUDU,M,65,ST
SEKH AKHIRUDDIN,M,49,GEN
UPENDRA KARMAKAR,M,51,GEN
OM PRAKASH ANAND,M,39,GEN
DINESH MAHATO,M,41,GEN
MOBIN KHAN,M,54,GEN
HARI ORAWN,M,41,ST
CHITRASEN SINKU,M,63,ST
DASHRATH GAGRAI,M,38,ST
MANOHAR SINKU,M,45,ST
LAXMAN GILUWA,M,52,ST
GEETA KORA,F,30,ST
JOHN MIRAN MUNDA,M,36,ST
NAVEEN MURMU,M,29,ST
BUDHRAM LAGURI,M,38,ST
RAJENDRA PURTY,M,35,ST
SALKHAN MURMU,M,61,ST
RUPSINGH HEMBROM,M,34,ST
SNEHLATA JOJO,F,31,ST
KARIA MUNDA,M,77,ST
KALI CHARAN MUNDA,M,52,ST
NEIL TIRKEY,M,60,ST
BASANT KUMAR LONGA,M,44,ST
SUBODH PURTY,M,44,ST
ANOSH EKKA,M,44,ST
DAYAMANI BARLA,F,44,ST
NITIMA BODRA BARI,F,47,ST
BUDAY MUNDA,M,66,ST
MAHADEV RAVINATH PAHAN,M,29,ST
ASRITA TUTI,F,52,ST
KALYAN NAG,M,52,ST
JITENDRA MANKI  ALIAS JITENDRA PRASAD MANKI,M,34,ST
JAITUN TUTI,M,29,ST
JAYRAM INDWAR,M,36,ST
BIRENDRA BHAGAT,M,43,ST
RAMESHWAR ORAON,M,67,ST
SUDARSHAN BHAGAT,M,45,ST
CHAMRA LINDA,M,44,ST
LAL SAY KUMAR BHAGAT,M,44,ST
NAWAL KISHOR SINGH,M,47,ST
MAHENDRA  ORAON,M,35,ST
RANJIT ORAON,M,38,ST
GHURAN RAM,M,46,SC
RAMPATI RANJAN,M,58,SC
VISHNU DAYAL RAM,M,62,SC
KAMESHWAR BAITHA,M,59,SC
JORAWAR RAM,M,64,SC
RAM BADAN RAM,M,57,SC
LALDEO RAM,M,40,SC
SHUSHMA MEHTA,F,41,SC
ASHOK  RAM,M,34,SC
RAVINDRA KUMAR RAVI,M,30,SC
VINOD RAM,M,33,SC
SHYAM LAL RAM,M,27,SC
ARUN KUMAR MISHRA,M,49,GEN
JAYANT SINHA,M,50,GEN
TETRI @ SHEELA DEVI,F,56,GEN
BHUVNESHWAR PRASAD MEHTA,M,68,GEN
LOKNATH MAHTO,M,69,GEN
SAURABH NARAIN SINGH,M,39,GEN
AJIT KUMAR SINGH,M,43,GEN
ABDUL RAHIM,M,47,GEN
JAVED ISLAM,M,54,GEN
PRAMOD KUMAR MAHTHA,M,35,GEN
MITHILESH KUMAR DANGI,M,40,GEN
RAMESHWAR RAM KUSHWAHA,M,44,GEN
MO. SHANUL HAQUE,M,39,GEN
DR. DHIRENDRA KUMAR RAJ,M,28,GEN
PRAYAG PRASAD,M,49,GEN
BADRI GOPE,M,45,GEN
BALDEO GANJHU,M,37,GEN
MAHENDRA KISHOR MEHTA,M,42,GEN
YASHPAL YADAV,M,25,GEN
RAMAVTAR MAHTO,M,29,GEN
KATTI RAMESH VISHWANATH,M,49,GEN
KADAPURE MACHINDRA DAVALU,M,44,SC
PRAKASH BABANNA HUKKERI,M,67,GEN
PRATAPARAO  PATIL,M,63,GEN
SHRIMANT BALASAHEB PATIL,M,59,GEN
APPASAHEB SRIPATHI KURANE,M,31,SC
ASHFAQ AHMED MADAKI,M,36,GEN
JITENDRA SUBHASH NERLE,M,39,GEN
BASAPPA KALLAPPA HANCHANAL,M,62,GEN
MAGADUM GOUSMOHIUDDIN ISMAIL MAGDUM,M,53,GEN
MOHAN GURAPPA MOTANNAVAR,M,39,SC
SHRINIK ANNASAHEB JANGATE,M,34,GEN
ANGADI SURESH CHANNABASAPPA,M,58,GEN
BAGWAN NASIR PAPULSAB,M,56,GEN
RAMESH G KADALASKAR,M,52,SC
LAXMI R. HEBBALKAR,F,39,GEN
ANGADI MUTTAPPA CHANNASANGAPPA,M,39,GEN
DAYANAND GURUPUTRAYYA CHIKKAMATH,M,48,GEN
ANTAKKANAVAR PARAPPA SHANKAREPPA,M,40,GEN
KHANAGOUDAR S B,M,63,GEN
DR. GAONKAR RAJMAHENDRA SAKHARAM,M,56,GEN
MAJUKAR HANMANT KRISHANA,M,42,GEN
MOHAN YALLAPPA MORE,M,33,GEN
S. P. RATHOD,M,46,SC
RAMAPPA (RAMCHANDRA) MAREPPA CHALAWADI,M,72,SC
SANTOSH MANOHAR BAVADEKAR,M,34,GEN
SANTOSH M. SHET @ RAIKAR,M,35,GEN
AJAY KUMAR SARNAIK,M,57,GEN
Y.C KAMBLE,M,35,SC
GADDIGOUDAR PARVTAGOUDA CHANDANAGOUDA,M,61,GEN
HUNASHYAL RAVI,M,50,GEN
KANABUR SADASHIV SIDAMALLAPPA,M,41,GEN
KAZI KUTUBUDDIN,M,54,GEN
MAHESH BASAPPA NANDIHAL,M,36,GEN
AJJODI BHEEMAPPA DHOOLAPPA,M,33,GEN
NAGAPPA PAKKIRAPPA SHIRAGUPPI,M,45,GEN
PARASHURAM MANASING RATHOD,M,38,SC
MUTTAPPA MUDAKAPPA HIREKUMBI,M,41,GEN
VASANAGOUDA NINGANAGOUDA BHANDI,M,51,GEN
SHANKAR BIDARI,M,61,GEN
PRAKASH RATHOD,M,53,SC
RAMESH JIGAJINAGI,M,64,SC
K SHIVRAM,M,61,SC
SUDHAKAR KANAMADI,M,59,SC
BHAGWAN DHARMANNA KAMBALE,M,64,SC
SHRIKANT DEVENDRAPPA ARAKERI,M,46,SC
SHRIDHAR NARAYANKAR,M,34,SC
RAVI (RAJESH) Y VALLYAPUR,M,42,SC
RAJU SHRIMANT PADAGANUR,M,36,SC
RUDRESH DAYAPPA DODAMANI,M,50,SC
SATISH ASANGIHAL,M,26,SC
SIDDAPPA B GANJI,M,61,SC
HANMANT MOTHER-BASALINGAVVA HOLER,M,32,SC
HUNNUR MARAGANNA MALAPPA,M,56,SC
D.G. SAGAR,M,57,SC
MALLIKARJUN KHARGE,M,72,SC
DANNI MAHADEV B.,M,49,SC
REVUNAIK BELAMAGI,M,73,SC
B.T.LALITHA NAIK,F,68,SC
S.M. SHARMA,M,30,SC
SHANKAR JADHAV,M,52,SC
RAMU,M,47,SC
D.B.NAYAK,M,62,ST
B.V.NAYAK,M,48,ST
RAJA THIMAPPA NAYAK,M,74,ST
ARAKERA SHIVANAGOUDA NAYAK,M,37,ST
M NAGARAJ,M,29,ST
BHAGAVANTAPPA,M,62,ST
BHIMARAYA JARADABANDI,M,62,ST
MARUTI,M,38,ST
RANGANAYAK,M,33,ST
K SOMASHEKAR YADGIRI,M,48,ST
CHINNAYYA NAYAK,M,46,ST
N. DHARAM SINGH,M,78,GEN
BANDEPPA KHASHEMPUR,M,50,GEN
BHAGWANTH KHUBA,M,46,GEN
SHANKAR BHAYYA,M,66,SC
ABDUL HAMEED FARAAN,M,72,GEN
GOVIND,M,37,GEN
CHANDRAKANT,M,54,GEN
RAMESH GAYKAWAD,M,44,GEN
RAMANNA,M,49,SC
SHRAVANA S.BHANDE MUNGANAL,M,47,GEN
SYED WAHEED,M,46,GEN
HATTARKI YASHWANTHRAO SHIVARAYA,M,52,GEN
ISMAIL ZABI ULLAH,M,52,GEN
KALLALING HUGAR NELOGI,M,51,GEN
NAGANATH PATIL,M,47,GEN
PRABHU,M,47,GEN
BALBHEEM VEERAPPA UNNE,M,44,GEN
BABU PASHA,M,43,GEN
MACHENDAR,M,50,GEN
MIRZA SHAFEE BAIG,M,32,GEN
MOHAMMED RAFIQ,M,38,GEN
SHAMALA.M.UDANOOR,F,42,GEN
SIDDARAMAPPA NAGAPPA KARABASTI CHINCHANSOOR,M,51,GEN
SUBHASH BHIMSHA SINDANKERA,M,30,SC
KARADI SANGANNA AMARAPPA,M,59,GEN
BASAVARAJ HITNAL,M,66,GEN
SYED  ARIF,M,47,GEN
THIMMAPPA UPPAR,M,47,GEN
NAZEER HUSSAIN,M,46,GEN
COM I:- D H PUJAR,M,48,SC
BHARADWHAJA,M,67,GEN
RAMESH KOTI,M,43,SC
K. M. RANGANATHREDDY,M,57,GEN
SHIVAKUMAR NAVALISIDDAPPA TONTAPUR,M,48,GEN
ANOJIRAO G,M,38,SC
V. GOVINDA,M,49,SC
GOVINDHAREDDY PACHARALLI,M,37,GEN
NAGAPPA. G.  KARATAGI,M,59,GEN
B.MANOHARA HANUMANTAPPA,M,58,GEN
SURESH,M,33,GEN
R. RAVINAYAKA,M,49,ST
B. RAMUDU (ADDIGERI RAMANNA),M,55,ST
B. SREERAMULU,M,43,ST
N.Y. HANUMANTAPPA,M,74,ST
A. DEVDAS,M,45,ST
DODDAMANI PRASAD,M,27,ST
G. NATARAJA,M,44,ST
COMRADE S. BHEEMAPPA,M,41,ST
MALAGI SHIVAKUMAR GIRIYAPPA,M,32,ST
K. RAGHAVENDRA,M,33,ST
N.B. KRISHNAPPA NAYAKA,M,38,ST
N.R. MALLAYYA SWAMY,M,48,ST
UDASI SHIVAKUMAR CHANNABASAPPA,M,47,GEN
RAVI  MENASINAKAI,M,53,GEN
SALEEM  AHMED,M,50,GEN
HALAPPA  TIMMENAHALLI,M,62,GEN
D PRASAD,M,52,SC
BASAVANTEPPA HONNAPPA HULLATTI,M,44,ST
H M SIRQUAZI,M,61,GEN
SURESH M.MUNDARGI,M,39,GEN
KABBINAD VERABHADRAPPA VEERAPPA,M,67,GEN
KUBER VASANNA,M,61,GEN
GIRISHGOUDA C.BISTANAGOUDAR,M,28,GEN
CHANDRASHEKHARAYYA GURULINGAYYA KULKARNI,M,62,GEN
B.M.JAYADEV MATHAD,M,49,GEN
BIDARAGADDI  V.B,M,75,GEN
MEHABOOBKHAN  PATHAN,M,48,GEN
RUDRESH RAMANNA HADAGALI,M,51,GEN
SHIDDAPPA KALLAPPA POOJAR,M,34,GEN
SHIVAKUMAR  TALAWAR,M,30,ST
HANUMANTAPPA  D. KABBAR,M,30,SC
IRAPPA BHARAMAPPA MADAR,M,39,SC
PRALHAD JOSHI,M,51,GEN
BANKAPUR. HANUMANTHAPPA MALLAPPA,M,52,SC
VINAY KULKARNI,M,47,GEN
GURUSHANTAPPA H. CHALAVADI.,M,51,SC
GANGADHAR S. BADIGER,M,32,GEN
HEMANT KUMAR,M,47,GEN
IMAMSAB MEHBOOBSAB TORGAL.,M,50,GEN
IRSHAD BEGAM ADHONI.,F,48,GEN
DOKKA ANANDARAJ,M,63,SC
PRAMOD HANUMANTHARAO MUTHALIK,M,59,GEN
MARUTI RAMAPPA HANASI,M,46,SC
VIKAS B. SOPPIN,M,38,GEN
SHAKEEL ABDULSATTAR DODWAD,M,31,GEN
SHREEKANT KABADI,M,52,GEN
SHAILENDRA PATIL,M,37,GEN
SANJAY KOTHARI,M,36,GEN
ANANTKUMAR HEGDE,M,46,GEN
NAIK SANTHOSH,M,50,GEN
PRASHANT R DESHPANDE,M,37,GEN
ELIYAS KATI,M,37,GEN
OLWIN MARIAN LOPIS,M,30,GEN
BASAVARAJ DUNDAPPA HADAPAD,M,34,GEN
RAGHAVENDRA K. THANE,M,36,GEN
ASHOK SAHADEVAPPA CHALAVADI,M,44,SC
SADANAND DESHBHANDARI ANNAPPA,M,64,GEN
A.K.PARASHURAMA KOTEMALLUR,M,31,SC
S.S. MALLIKARJUN,M,46,GEN
MAHIMA J PATEL,M,55,GEN
COM. H.K. RAMACHANDRAPPA,M,73,ST
G M SIDDESHWARA,M,61,GEN
H.K. KENCHVEERAPPA,M,70,GEN
G.C.PATEL,M,40,GEN
PARASURAM KURUBAR,M,31,GEN
K.J. BASAVARAJ,M,49,GEN
ALUR M.G. SWAMY,M,67,GEN
A.T. DADAKHALANDAR,M,32,GEN
SRI NAGARAJAPPA,M,57,SC
DR. SRIDHARA UDUPA,M,61,GEN
SIDDESH,M,34,GEN
G.M.SIDDESHI,M,49,GEN
S.S. SUBHAN KHAN,M,46,GEN
K SYED ZABIULLA,M,50,GEN
B. GNANA PRAKASH,M,31,GEN
KUNAJE  MANJUNATHA  GOWDA,M,43,GEN
GEETHA  SHIVARAJKUMAR,F,49,GEN
MANJUNATH BHANDARY,M,52,GEN
B. S. YEDDYURAPPA,M,71,GEN
B. DHARMAPPA,M,77,GEN
FAYAZ AHAMED   ALIAS   MOHAMAD FAYAZ AHAMED,M,46,GEN
B.K. SHASHI KUMAR,M,31,GEN
K.G. SREEDHAR,M,49,GEN
ANIL.M.R,M,33,GEN
MAINUDDIN M.S.,M,40,GEN
SHRILATHA SHETTY,F,41,GEN
S. SATISH SALIAN,M,46,GEN
H.  SURESHA POOJARI,M,42,GEN
K JAYAPRAKASH HEGDE,M,61,GEN
ZAKIR HUSSAIN,M,41,GEN
V. DHANANJAYA KUMAR,M,63,GEN
S VIJAYA KUMAR,M,41,GEN
SHOBHA KARANDLAJE,F,47,GEN
GURUDEVA S  H,M,32,GEN
COMRADE C J JAGANNATH,M,35,SC
M D MAINUDDIN KHAN ALIAS ASFIYA,M,38,GEN
MANJUNATHA G,M,28,SC
SRINIVASA POOJARY,M,57,GEN
SUDHEER KANCHAN,M,59,GEN
A.P. AHAMAD,M,70,GEN
H.D. DEVEGOWDA,M,81,GEN
MANJU. A.,M,56,GEN
C.H. VIJAYASHANKAR,M,58,GEN
MANJUNATHA,M,34,SC
RUDREGOWDA,M,48,GEN
H.D. REVANNA,M,39,GEN
SANTHOSH MOHAN,M,39,GEN
T.D. JAGADEESHA,M,32,SC
JAVARAIAH,M,37,SC
DR. BANUPRAKASH. K,M,40,GEN
S.N. MALLAPPA,M,50,SC
M.MAHESH (HARSHA),M,43,GEN
S.B. RAJEGOWDA,M,68,GEN
JANARDHANA POOJARY,M,76,GEN
NALIN KUMAR KATEEL,M,48,GEN
MOOSE KUNHI ALIAS ABDUL KAREEM,M,39,GEN
K YADAVA SHETTY,M,50,GEN
M. R. VASUDEVA,M,61,GEN
SUPREETH KUMAR POOJARY,M,38,GEN
HANEEF KHAN KODAJE,M,44,GEN
ADVOCATE ANANDA GATTY,M,64,GEN
K. KUSHALA BELLARE,M,63,SC
DEEPAK RAJESH COELHO,M,38,GEN
MAXIM PINTO,M,49,GEN
SUDATTA JAIN SHIRTHADY,M,37,GEN
SUBRAMANYA GOWDA K.,M,42,GEN
K.N. SOMASHEKAR,M,42,GEN
B.N.CHANDRAPPA,M,58,SC
JANARDHANA SWAMY,M,46,SC
T.D.RAJAGIRI,M,54,SC
GULLIHATTY.D.SHEKHAR,M,45,SC
M.KUMBAIAH,M,56,SC
S. MEETYA NAIK,M,43,SC
MOHANA DASARI,M,31,SC
H.SIDDAGANGAPPA,M,46,SC
GANESHA,M,53,SC
T.DAYANANDA,M,34,SC
BASAVANAGIDEVA SHARANARU,M,39,SC
T.BHAVANA,O,34,SC
N.S.MANJUNATHA NERENAHAL,M,54,SC
T.SOMESH SHILPI,M,42,SC
A.KRISHNAPPA,M,68,GEN
CHINNAPPA.V,M,33,GEN
NILUFAR JAMANI AHMED,F,41,GEN
G.S.BASAVARAJ,M,73,GEN
MUDDAHANUMEGOWDA.S.P.,M,59,GEN
A.S.D''''SILVA,M,61,GEN
H.L.MOHAN KUMAR,M,34,GEN
B.VENKATESHA,M,36,GEN
ANWAR,M,58,GEN
GOVINDARJU.G,M,58,SC
G.NAGENDRA,M,38,SC
BRAHMANANDA REDDY,M,34,GEN
L.P.YADUNANDANA,M,51,GEN
SHIVAKUMAR,M,44,GEN
K.V.SRINIVAS KALKERE,M,38,SC
S.B.HANUMANTHARAYAPPA,M,45,GEN
M.KRISHNAMURTHY,M,40,SC
C.S.PUTTARAJU,M,50,GEN
RAMYA,F,31,GEN
PROF. B.SHIVALINGAIAH,M,63,GEN
H.K.KRISHNA,M,42,SC
KRISHNAMURTHY KOMMERAHALLI,M,52,SC
JAYACHANDRA,M,52,SC
K.MAHADEVAPPA,M,66,GEN
K.SHIVANANDA,M,52,GEN
DR. C.S.HANUMANTHAPPA,M,70,GEN
ARAVIND PREMANAND,M,40,GEN
ARUNAKUMARA,M,33,GEN
ASHRAF,M,36,GEN
K.UDAYAKUMARA,M,41,GEN
N.C.PUTTARAJU,M,40,GEN
BHANUPRAKASH.K.L,M,33,GEN
ADAGOORU H VISHWANATH,M,64,GEN
CHANDRASHEKARAIAH,M,71,GEN
PRATHAP SIMHA,M,37,GEN
C MOHAN KUMAR,M,40,SC
THIMME GOWDA,M,42,GEN
D S NIRVANAPPA,M,50,SC
PADMAMMA M V,F,59,GEN
S P MAHADEVAPPA,M,67,GEN
RATHI POOVAIAH,F,36,GEN
HUNSUR K CHANDRASHEKAR,M,35,GEN
