canddt_name_2014,caddi_sex_2014,cnddt_age_2014,canddt_category_2014
KHAJA SIRAJUDDIN AZAZ,M,49,GEN
CHAYA RATAN MUSINIPALLY,F,61,SC
B.DEEPAK KUMAR,M,39,SC
NARLA MOHAN RAO,M,47,GEN
DR.MALATHI LATHA EPPA,F,29,GEN
CH. MURAHARI,M,55,GEN
MOHD IMTIAZ HUSSAIN,M,35,GEN
RAGHU DESHABOINA,M,45,GEN
J.RAMULU,M,39,GEN
SHAKTHI SATYAVATHI,F,49,ST
K. SRINIVASULU,M,42,GEN
SYED SAJID ALI,M,44,GEN
K.SAI KRISHNA MOHAN RAO,M,53,GEN
SONU SARSAL VALMIKI,M,29,SC
ANANTH RAO GUNDEPALLY,M,43,GEN
AVULA RANGANAYAKULU,M,60,GEN
MICHAEL DANIEL OVELZ,M,41,GEN
MOHD ABUBAKAR PARWAIZ SIDDIQUI,M,38,GEN
MOHAMMED RIZWAN HUSSAIN,M,32,GEN
S. LAKSHMAN RAO,M,50,GEN
SYED MADANI QUADRI,M,53,GEN
B.SUBRAMANYAM,M,60,GEN
YELLAIAH NANDI,M,71,SC
BAKKANI NARSIMLU,M,63,SC
BAHADHUR SRINIVAS,M,39,SC
DR. MANDA JAGANNATH,M,63,SC
MAREDU GOPAL,M,63,SC
BUDDULA SRINIVAS,M,39,SC
ARVAPALLY AMBATI,M,34,GEN
INDRASENA REDDY NALLU,M,64,GEN
KOMATIREDDY RAJGOPAL REDDY,M,46,GEN
CHERUPALLY SEETHARAMULU,M,60,GEN
DR. BOORA NARSAIAH GOUD,M,55,GEN
KAPILAVAI DILEEP KUMAR,M,60,GEN
GUDURU JANARDHAN REDDY,M,41,GEN
GUAHATI MOTHILAL,M,45,GEN
NAGULA SRINIVAS YADAV,M,44,GEN
BOILLA NARENDER,M,32,SC
NAVULLA MALLA REDDY,M,42,GEN
RAVULAPALLY KONDAL RAO,M,60,GEN
VARIKUPPALA KRISHNA VADDERA,M,45,GEN
PROF. AZMEERA SEETARAM NAIK,M,56,ST
P. BALRAM,M,49,ST
BANOTH MOHANLAL,M,49,ST
BODA RAASI,F,29,ST
KAVITHA RANI LUNAVATH,F,35,ST
GUGULOTU JAGAN,M,37,ST
TELLAM VENKATA RAO,M,46,ST
EESAM SUDHAKAR,M,29,ST
V. GOURI NAGAMANI,F,43,ST
DATLA NAGESHWAR RAO,M,48,ST
PADIGA YARRAIAH,M,69,ST
PAYAM CHANDHAR RAO (CHINNA CHANDHRANNA),M,53,ST
PONAKA SAMMAKKA,F,36,ST
BALUNAYAK BHUKYA,M,34,ST
METLA PAPAIAH,M,62,ST
LAXMAN BUKYA,M,38,ST
LAXMINARAYANA BORRA,M,38,ST
KISHORE CHANDRA DEO,M,67,ST
GUMMIDI SANDHYARANI,F,41,ST
MIDIYAM BABURAO,M,63,ST
KOTHAPALLI GEETHA,F,43,ST
BURJABARIKI DHANARAJU,M,32,ST
IILLA RAMI REDDY,M,60,ST
